Year,Type,Country,Fatal_injury,Species,Length,Weight
1869,Unprovoked,AUSTRALIA,N,TIGER SHARK,215,51
1907,Unprovoked,MALTA,Y,WHITE SHARK,600,2287
1910,Unprovoked,AUSTRALIA,N,BLUE SHARK,275,210
1912,Unprovoked,AUSTRALIA,Y,COPPER SHARK,280,101
1916,Unprovoked,USA,Y,WHITE SHARK,260,171
1916,Unprovoked,USA,Y,WHITE SHARK,260,171
1918,Sea Disaster,SAN DOMINGO,Y,TIGER SHARK,240,72
1920,Unprovoked,AUSTRALIA,N,SPINY DOGFISH SHARK,50,1
1921,Provoked,ENGLAND,N,BLUE SHARK,120,12
1922,Unprovoked,AUSTRALIA,Y,WHITE SHARK,240,135
1922,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,365,489
1924,Unprovoked,USA,N,SHORTFIN MAKO SHARK,190,27
1925,Unprovoked,AUSTRALIA,Y,TIGER SHARK,400,432
1926,Unprovoked,USA,N,WHITE SHARK,150,33
1926,Unprovoked,AUSTRALIA,Y,WHITE SHARK,370,512
1926,Unprovoked,USA,Y,WHITE SHARK,390,585
1926,Unprovoked,ITALY,Y,WHITE SHARK,650,2913
1927,Unprovoked,SOUTH AFRICA,Y,WHITE SHARK,440,861
1929,Boating,AUSTRALIA,N,SHORTFIN MAKO SHARK,365,174
1930,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,450,929
1930,Unprovoked,AUSTRALIA,Y,WHITE SHARK,490,1215
1931,Unprovoked,USA,N,HAMMERHEAD SHARK,250,69
1931,Provoked,USA,N,TIGER SHARK,300,148
1932,Boating,CANADA,N,WHITE SHARK,460,1000
1933,Unprovoked,USA,N,LEMON SHARK,250,131
1933,Unprovoked,AUSTRALIA,Y,TIGER SHARK,340,253
1934,Boating,AUSTRALIA,N,SHORTFIN MAKO SHARK,335,137
1934,Provoked,AUSTRALIA,N,SHORTFIN MAKO SHARK,370,181
1934,Unprovoked,AUSTRALIA,N,TIGER SHARK,150,16
1934,Unprovoked,AUSTRALIA,N,TIGER SHARK,340,253
